ds,y
"2016/06/07","106.5"
"2016/06/08","111.5"
"2016/06/09","107"
"2016/06/10","107.5"
"2016/06/11","33.5"
"2016/06/12","19"
"2016/06/13","105.5"
"2016/06/14","103.5"
"2016/06/15","106"
"2016/06/16","107"
"2016/06/17","92.5"
"2016/06/18","23"
"2016/06/19","60.5"
"2016/06/20","91.5"
"2016/06/21","106"
"2016/06/22","110"
"2016/06/23","114.5"
"2016/06/24","92"
"2016/06/25","19.5"
"2016/06/26","3.5"
"2016/06/27","98"
"2016/06/28","115.5"
"2016/06/29","117.5"
"2016/06/30","101.5"
"2016/07/01","54.5"
"2016/07/02","29.5"
"2016/07/03","8"
"2016/07/04","14.5"
"2016/07/05","86"
"2016/07/06","95.5"
"2016/07/07","89.5"
"2016/07/08","99"
"2016/07/09","27"
"2016/07/10","7"
